___,_,____,___,___
ep56_sc001_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc001_001_occ.mb,occ,mental ray,1,100
ep56_sc002_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc002_001_occ.mb,occ,mental ray,1,100
ep56_sc003_001_render.mb,ch_bg,maya software,1,163
,,,,
ep56_sc003_001_occ.mb,occ,mental ray,1,163
ep56_sc004_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc004_001_occ.mb,occ,mental ray,1,100
ep56_sc005_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc005_001_occ.mb,occ,mental ray,1,100
ep56_sc006_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc006_001_occ.mb,occ,mental ray,1,75
ep56_sc007_001_render.mb,ch_bg,maya software,1,125
,,,,
ep56_sc007_001_occ.mb,occ,mental ray,1,125
ep56_sc008_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc008_001_occ.mb,occ,mental ray,1,100
ep56_sc009_001_render.mb,ch_bg,maya software,1,125
,,,,
ep56_sc009_001_occ.mb,occ,mental ray,1,125
ep56_sc010_001_render.mb,ch_bg,maya software,1,125
,,,,
ep56_sc010_001_occ.mb,occ,mental ray,1,125
ep56_sc011_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc011_001_occ.mb,occ,mental ray,1,75
ep56_sc012_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc012_001_occ.mb,occ,mental ray,1,75
ep56_sc013_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc013_001_occ.mb,occ,mental ray,1,50
ep56_sc014_001_render.mb,ch_bg,maya software,1,63
,,,,
ep56_sc014_001_occ.mb,occ,mental ray,1,63
ep56_sc015_001_render.mb,ch_bg,maya software,1,200
,,,,
ep56_sc015_001_occ.mb,occ,mental ray,1,200
ep56_sc016_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc016_001_occ.mb,occ,mental ray,1,75
ep56_sc017_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc017_001_occ.mb,occ,mental ray,1,75
ep56_sc018_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc018_001_occ.mb,occ,mental ray,1,75
ep56_sc019_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc019_001_occ.mb,occ,mental ray,1,75
ep56_sc020_001_render.mb,ch_bg,maya software,1,150
,,,,
ep56_sc020_001_occ.mb,occ,mental ray,1,150
ep56_sc021_001_render.mb,ch_bg,maya software,0,50
,,,,
ep56_sc021_001_occ.mb,occ,mental ray,0,50
ep56_sc022_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc022_001_occ.mb,occ,mental ray,1,75
ep56_sc023_001_render.mb,ch_bg,maya software,1,100
,,,,
ep56_sc023_001_occ.mb,occ,mental ray,1,100
ep56_sc024_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc024_001_occ.mb,occ,mental ray,1,50
ep56_sc025_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc025_001_occ.mb,occ,mental ray,1,75
ep56_sc026_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc026_001_occ.mb,occ,mental ray,1,75
ep56_sc027_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc027_001_occ.mb,occ,mental ray,1,50
ep56_sc028_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc028_001_occ.mb,occ,mental ray,1,50
ep56_sc029_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc029_001_occ.mb,occ,mental ray,1,50
ep56_sc030_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc030_001_occ.mb,occ,mental ray,1,75
ep56_sc031_001_render.mb,ch_bg,maya software,1,75
,,,,
ep56_sc031_001_occ.mb,occ,mental ray,1,75
ep56_sc032_001_render.mb,ch_bg,maya software,1,50
,,,,
ep56_sc032_001_occ.mb,occ,mental ray,1,50
